PRESCRIPTION_CODE,PRACTICE_CODE,BNF_CODE,QUANTITY,ITEMS,ACTUAL_COST
234,P82034,0301011U0BBAEAE,2,1,65.66526
235,P82034,0301011V0AABBBB,2,1,15.53273
236,P82034,0301020I0AAANAN,1,1,5.21078
237,P82034,0301020I0BIAAAN,1,1,5.21078
238,P82034,0301020Q0AAAAAA,30,2,65.22888
239,P82034,0301020Q0AAABAB,30,1,31.33355
240,P82034,0301020Q0BBAAAA,30,3,97.84333
241,P82034,0301020Q0BBACAC,1,2,43.03294
242,P82034,0301020Q0BBADAE,1,1,21.51647
243,P82652,0301020Q0BCAAAD,30,6,144.80615
244,P82034,0301020T0BBAAAA,1,1,25.72379
245,P82034,0301030S0BKAAAR,112,1,10.57744
246,P82034,0301030S0BKABAM,112,1,5.54736
247,P82652,0301040W0BBAAAA,1,7,212.79011
248,P82034,0301040X0BBAAAA,1,2,60.79718
249,P82034,0301040Y0BBAAAA,30,2,60.79718
250,P82652,0302000C0AABFBF,1,8,55.5984
251,P82652,0302000C0AABYBY,1,1,27.42542
252,P82652,0302000C0AABZBZ,1,1,27.42542
253,P82652,0302000C0AACACA,1,1,27.42542
254,P82034,0302000C0BJAABE,1,4,29.48213
255,P82034,0302000C0BJABBF,1,11,177.13361
256,P82034,0302000C0BJABBF,2,3,96.58113
257,P82034,0302000C0BJADBH,1,1,16.10306
258,P82652,0302000C0BPAABE,2,1,6.9311
259,P82652,0302000C0BPAABE,1,8,27.774
260,P82652,0302000C0BPABBF,1,24,166.79521
261,P82652,0302000C0BPABBF,2,1,13.8872
262,P82652,0302000C0BPACBV,1,6,90.78418
263,P82652,0302000C0BPADBW,1,5,76.21446
264,P82652,0302000K0AAAMAM,1,1,26.19127
265,P82034,0302000K0BBAHAG,1,1,13.33557
266,P82034,0302000K0BBAIAH,1,1,13.33557
267,P82034,0302000K0BBAKAK,1,1,13.33557
268,P82034,0302000K0BDAAAL,2,1,52.37014
269,P82034,0302000K0BDAAAL,1,2,52.38254
270,P82034,0302000K0BDABAM,2,1,52.37014
271,P82034,0302000K0BDABAM,1,2,52.38254
272,P82034,0302000N0BCAAAX,1,1,16.33679
273,P82034,0302000N0BCADBE,1,1,16.33679
274,P82034,0302000N0BCAEBF,2,3,131.58602
275,P82034,0302000N0BCAFBG,2,1,54.83843
276,P82034,0302000N0BCAFBG,1,1,27.42542
277,P82034,0302000N0BFAABF,1,2,42.00449
278,P82034,0302000N0BFABBG,1,2,52.98091
279,P82034,0302000N0BFABBG,2,1,52.96851
280,P82652,0302000N0BGAAAZ,1,1,28.03314
281,P82034,0302000N0BIAABF,1,2,28.05489
282,P82034,0302000N0BIABBG,1,4,74.80897
283,P82652,0302000N0BLAABE,1,3,37.90306
284,P82034,0302000V0BBAAAA,1,1,27.59371
